,Learning rate,Hidden layers,Layer width,Dropout rate,L2 penalty
0,0.010697,8,30,0.000,0.001
1,0.007768,4,75,0.000,0.001
2,0.100000,2,120,0.000,0.001
3,0.008419,6,120,0.000,0.001
4,0.002887,8,75,0.000,0.001
5,0.023138,4,30,0.000,0.001
6,0.003935,8,120,0.012,0.001
7,0.000396,6,120,0.000,0.001
8,0.000422,10,120,0.000,0.001
9,0.001449,10,120,0.000,0.001
10,0.008395,6,105,0.000,0.001
11,0.006439,4,45,0.000,0.001
12,0.002115,8,120,0.000,0.001
13,0.042398,2,30,0.057,0.001
14,0.037370,2,30,0.000,0.001
