,dropout,hidden_layer_width,hidden_layers,l2,lr,mse,trial number
0,0.2,75,4.0,0.001,0.09278652156969801,61.799720764160156,60
1,0.2,75,8.0,0.001,0.06465507699763891,54.70339584350586,70
2,0.2,75,10.0,0.001,0.007645215918794118,45.95545196533203,16
3,0.2,75,8.0,0.001,0.006104145365733571,58.194671630859375,49
4,0.2,75,8.0,0.001,0.033944805376349495,35.88429641723633,41
5,0.2,75,4.0,0.001,0.027756969154320486,48.92689514160156,1
6,0.2,75,10.0,0.001,0.027098527045465438,57.16582107543945,97
7,0.2,75,4.0,0.001,0.07236647701394172,48.97773361206055,96
8,0.2,75,4.0,0.001,0.03598863905437035,55.27351379394531,75
9,0.2,75,6.0,0.001,0.019935673096396413,58.63111114501953,12
10,0.2,75,2.0,0.001,0.015026141271915653,52.98167419433594,94
11,0.2,75,8.0,0.001,0.05200839089486258,81.9838638305664,71
12,0.2,75,10.0,0.001,0.030815358055782713,49.605770111083984,79
13,0.2,75,6.0,0.001,0.06670897343975515,62.074344635009766,59
14,0.2,75,8.0,0.001,0.03529739998097153,60.19477844238281,11
