,Learning rate,Hidden layers,Layer width,Dropout rate,L2 penalty
0,0.030713,4,90,0.023,0.001856
1,0.033123,4,60,0.043,0.000010
2,0.006402,10,105,0.005,0.005162
3,0.000023,10,60,0.002,0.019217
4,0.000311,6,105,0.010,0.000344
5,0.000045,4,90,0.004,0.000119
6,0.000073,4,105,0.002,0.000001
7,0.000506,8,75,0.007,0.069848
8,0.008674,8,75,0.001,0.000002
9,0.029060,2,90,0.017,0.000001
10,0.085448,6,105,0.004,0.000265
11,0.000395,6,90,0.006,0.000005
12,0.000472,6,75,0.000,0.019245
13,0.000546,8,45,0.003,0.001854
14,0.022547,4,120,0.026,0.000031
